1,20140107
268313799-0,Yellow,XL,857.61,Patricia Fields,9 Anzinger Crossing,Guernsey,5-(647)965-5267,62,Jean Green,Onsite Consultant Sales,SummerPromotion,57,20140419,20140502,20140605,583.3,934.78,75.51,Eazzy
642522411-8,Violet,M,340.14,Bonnie Bennett,74561 Forest Place,Zambia,3-(878)185-9351,614,Billy Duncan,OnlineSales,SummerPromotion,89,20140710,20140218,20140307,382.57,241.0,3.37,Lazzy
985288391-7,Red,3XL,93.26,Lori Wallace,289 Mendota Junction,Christmas Island,4-(007)402-0793,512,Emily Perez,Onsite Consultant Sales,BankHolidayPromotion,6,20140618,20140304,20140501,549.76,803.34,52.89,Topdrive
170323794-3,Maroon,L,929.53,Janet Hill,2699 Rigney Hill,Burkina Faso,7-(967)603-6522,483,Patrick George,Order via Third Party,XMASPromotion,79,20140307,20140604,20141010,617.31,999.39,45.12,Devcast
112754279-6,Teal,XS,426.18,Shirley Stevens,55 Waxwing Center,Belarus,1-(317)011-0936,491,Earl Gomez,Onsite Consultant Sales,NewYearPromotion,62,20140906,20140520,20140520,116.36,331.72,45.11,Zoombox
517391446-7,Mauv,3XL,291.87,Jason Ward,6344 Nevada Circle,Norway,9-(583)747-7877,140,Tina Frazier,OnlineSales,BankHolidayPromotion,68,20141113,20141110,20140916,527.28,689.64,59.02,Npath
686827676-1,Teal,S,91.41,Judy Barnes,07271 Eliot Terrace,South Georgia and the South Sandwich Islands,2-(209)780-5834,119,Linda Hansen,Order via Third Party,XMASPromotion,13,20140909,20140203,20140215,389.1,933.72,83.57,Jamia
411085867-4,Blue,XS,822.32,Ernest Shaw,4927 Glendale Street,Antigua and Barbuda,3-(764)143-5717,895,Justin Lawrence,Onsite Consultant Sales,ValentinesPromotion,2,20140216,20140517,20140310,180.39,985.73,3.28,Livetube
066731400-8,Violet,M,319.84,Marie Phillips,020 Russell Plaza,Germany,6-(267)922-4222,841,Martha Fowler,Order via Third Party,NewYearPromotion,28,20140612,20141102,20140402,157.85,836.45,73.62,Leenti
244262799-X,Yellow,2XL,333.47,Ernest Harvey,5704 6th Drive,Trinidad and Tobago,7-(964)328-9285,513,Carol George,OnlineSales,AutumnPromotion,43,20140518,20141009,20140405,386.98,423.56,91.77,Feednation
908736406-7,Khaki,3XL,790.99,Barbara Gordon,47749 Banding Place,Libya,5-(018)915-2780,668,Roy Fisher,Onsite Consultant Sales,XMASPromotion,44,20140716,20140505,20140506,763.89,326.6,50.65,Aibox
962094085-7,Yellow,XL,690.0,Philip Hernandez,392 Fieldstone Hill,Cote d'Ivoire,0-(239)308-5228,622,Earl Duncan,OnlineSales,NewYearPromotion,34,20140413,20140704,20140710,764.17,356.55,36.93,Babbleset
978522209-8,Turquoise,XL,681.74,Cheryl Dixon,389 Graceland Street,Liechtenstein,6-(830)074-9449,267,John Gonzales,Onsite Consultant Sales,WinterPromotion,18,20140805,20140502,20140412,524.01,47.01,11.68,Edgetag
412963060-1,Goldenrod,3XL,672.5,Michael Foster,47412 Springview Crossing,Cook Islands,1-(267)674-8795,621,Diana Gonzales,OnlineSales,SummerPromotion,76,20140716,20140619,20140219,48.14,710.03,91.64,Photolist
148264520-3,Violet,2XL,575.12,Amy Williams,4 Commercial Place,Qatar,4-(257)344-6145,607,Lillian Lane,Telephone,NewYearPromotion,81,20140507,20141117,20140301,196.48,221.65,53.16,Feedbug
041017932-9,Maroon,XS,930.82,Kathryn Tucker,007 Sauthoff Junction,Heard and McDonald Islands,8-(906)130-1553,564,Carol Peterson,OnlineSales,ValentinesPromotion,20,20140612,20140820,20140402,537.27,316.52,44.02,Gigabox
605455461-1,Green,S,806.88,Ralph Morris,33 Prairieview Court,Vietnam,3-(535)765-5650,409,Lisa Payne,Telephone,AutumnPromotion,68,20140404,20140618,20140919,425.92,598.39,40.06,Gabcube
789327080-2,Yellow,M,938.99,Jonathan Mccoy,96232 Wayridge Crossing,Guinea,1-(580)346-1485,760,Elizabeth Brown,Onsite Consultant Sales,WinterPromotion,95,20140411,20140806,20140208,212.75,515.49,23.79,Gigaclub
231445364-6,Blue,L,172.63,Gloria Jones,60526 Shelley Street,Afghanistan,7-(978)925-1523,166,Patrick Lynch,Onsite Consultant Sales,EasterPromotion,88,20141017,20141117,20140420,55.11,766.34,95.31,Voolith
260456323-1,Puce,XS,825.55,Earl Miller,6260 Buena Vista Lane,Armenia,6-(255)437-5896,710,Roy Carroll,OnlineSales,WinterPromotion,62,20140409,20140810,20140601,892.07,659.71,27.78,Dabjam
134965586-4,Mauv,XL,136.92,Victor Knight,68 Walton Crossing,Laos,4-(390)381-7563,750,Nicole Lopez,Order via Third Party,EasterPromotion,80,20140205,20140418,20140902,847.95,477.15,61.64,Tanoodle
055028523-7,Turquoise,XS,243.99,George Shaw,257 Moland Plaza,Japan,5-(272)513-1807,919,Daniel Taylor,Onsite Consultant Sales,XMASPromotion,78,20140811,20141015,20140211,444.63,637.99,24.75,Lazzy
480762069-X,Puce,3XL,930.12,Pamela Roberts,61712 Waywood Crossing,Egypt,4-(508)880-3022,692,Annie Meyer,OnlineSales,EasterPromotion,67,20140218,20141014,20140606,644.29,159.3,67.67,Topicblab
888035133-8,Fuscia,XS,491.47,Brian Gray,787 Ilene Way,Slovenia,2-(488)581-9873,192,Katherine Fowler,OnlineSales,SpringPromotion,28,20140310,20140310,20141113,59.74,971.37,71.6,Youopia
592951149-7,Yellow,XL,142.19,Charles Daniels,551 Little Fleur Road,Belarus,1-(997)053-2344,588,Helen Martin,Onsite Consultant Sales,EasterPromotion,29,20140806,20140817,20141106,231.02,74.36,22.71,Skimia
173245002-1,Purple,3XL,831.7,Jack Tucker,43797 Butternut Avenue,Cameroon,2-(006)922-9729,668,Diane Stephens,Onsite Consultant Sales,WinterPromotion,40,20140705,20141105,20141019,71.09,580.51,59.2,Digitube
690941055-6,Maroon,3XL,555.59,Lillian Little,53 Truax Lane,Finland,3-(351)558-0911,957,Tina Bishop,Onsite Consultant Sales,SpringPromotion,99,20140311,20140815,20140307,803.63,505.59,4.78,Jabbertype
005978190-4,Green,S,594.06,Joseph Flores,8327 Crowley Hill,New Zealand,0-(810)048-5049,361,Louise Hawkins,Order via Third Party,NewYearPromotion,55,20140903,20140901,20140512,231.91,304.76,73.59,Fivebridge
144098356-9,Pink,S,567.94,Edward Andrews,9536 Fairfield Point,South Georgia and the South Sandwich Islands,5-(967)536-6428,367,Dennis Fernandez,Order via Third Party,EasterPromotion,57,20140220,20140914,20140504,242.57,842.26,26.27,Avaveo
846601062-9,Maroon,2XL,382.07,Henry Dunn,0103 Dennis Road,Swaziland,7-(454)829-7722,47,Diane Watkins,Onsite Consultant Sales,AutumnPromotion,85,20140712,20140614,20140903,734.88,615.38,33.46,Trunyx
795523929-6,Pink,XL,200.96,Jason Stevens,54324 Coleman Junction,Nauru,6-(957)898-8563,288,Elizabeth Bailey,Order via Third Party,SpringPromotion,66,20140501,20141117,20140205,393.19,404.88,6.38,Tambee
483212929-5,Goldenrod,XL,726.63,Karen Hayes,3 Nancy Place,Cocos (Keeling) Island,4-(326)701-9472,76,Timothy Simmons,Order via Third Party,AutumnPromotion,55,20140614,20140511,20140915,612.84,50.7,91.14,Avaveo
766143245-5,Maroon,3XL,813.95,Annie Montgomery,12 Maple Wood Drive,Congo,2-(728)889-9630,765,Henry Turner,Onsite Consultant Sales,AutumnPromotion,66,20140801,20141111,20140716,522.17,191.66,30.49,Shufflebeat
881333008-1,Khaki,M,203.13,Philip Lawson,3 Schmedeman Place,Japan,1-(833)101-7059,102,Jessica Ryan,Onsite Consultant Sales,AutumnPromotion,15,20140511,20140620,20140914,615.77,575.87,7.05,Yambee
294687242-4,Orange,2XL,435.36,Joshua Edwards,9 Gina Street,Kuwait,0-(283)125-1387,101,Harry Burns,Onsite Consultant Sales,XMASPromotion,78,20140307,20140718,20140610,683.61,457.81,85.83,Minyx
412462441-7,Aquamarine,XS,257.73,Chris Holmes,64 Sachtjen Place,Tajikistan,7-(080)106-0130,554,Harry Lewis,Onsite Consultant Sales,AutumnPromotion,64,20140715,20140213,20140817,402.62,284.26,33.63,Quaxo
517564764-4,Green,2XL,589.85,William Palmer,43 Stang Trail,Nepal,7-(758)222-3910,105,Sandra Dean,Onsite Consultant Sales,BankHolidayPromotion,18,20140710,20140712,20140602,747.72,785.75,44.84,Rhyzio
976162692-X,Yellow,M,535.04,Arthur Wells,78743 Sunbrook Road,Seychelles,6-(529)686-4082,879,Keith Rose,Telephone,AutumnPromotion,7,20140520,20141016,20141011,106.5,776.4,64.26,Tagtune
952445898-5,Red,L,455.52,Melissa Morrison,77669 Algoma Way,Mayotte,6-(633)386-9954,372,Marie Larson,OnlineSales,ValentinesPromotion,33,20140319,20140505,20140311,883.28,541.03,93.18,Minyx
881198939-6,Maroon,3XL,887.78,Gary Riley,95711 Declaration Hill,Burkina Faso,4-(476)677-8529,186,Wanda Turner,OnlineSales,SpringPromotion,47,20140211,20140715,20140416,221.95,577.97,16.44,Centidel
922848032-7,Purple,3XL,813.43,Jesse Jordan,660 Fremont Point,Timor-Leste,5-(778)519-2730,104,Chris Bell,OnlineSales,BankHolidayPromotion,38,20140806,20140520,20140316,250.77,237.74,67.3,Babblestorm
479506542-X,Puce,XS,16.8,Paula Myers,83445 Southridge Plaza,French Polynesia,6-(961)824-3477,150,Ralph Torres,OnlineSales,BankHolidayPromotion,28,20140801,20140512,20140409,545.82,168.04,43.2,Feedfish
774352270-9,Blue,XL,256.25,Barbara Banks,88259 Leroy Place,Hong Kong,0-(216)289-7606,382,Anna Perry,Order via Third Party,AutumnPromotion,55,20140904,20140803,20140617,29.03,492.36,60.41,Omba
709890290-X,Mauv,2XL,598.69,Craig Bailey,3 Bartillon Avenue,Northern Mariana Islands,8-(280)697-3502,258,Kathleen Kennedy,Order via Third Party,SpringPromotion,47,20141110,20140606,20140605,855.99,466.22,81.98,InnoZ
372611538-2,Violet,3XL,434.61,Stephen King,07 Mesta Place,Malawi,0-(655)078-4455,769,Evelyn Parker,Telephone,EasterPromotion,70,20140604,20140612,20141008,583.45,709.75,89.47,Aimbu
530215356-4,Red,2XL,713.8,Karen Ortiz,27519 Hintze Avenue,South Georgia and the South Sandwich Islands,1-(497)128-3910,519,Jessica Meyer,Telephone,WinterPromotion,40,20140320,20141017,20140218,818.59,194.44,44.83,Talane
927678198-6,Indigo,L,52.45,Michael Oliver,0 Dixon Court,Brazil,6-(079)888-0250,206,Alice Austin,Order via Third Party,AutumnPromotion,4,20141020,20140610,20140914,184.32,205.38,94.93,Meeveo
307801415-0,Green,XS,914.87,George Richards,5666 Union Road,Solomon Islands,2-(603)903-7435,89,Robert Reyes,Order via Third Party,XMASPromotion,55,20140908,20140705,20140218,872.99,428.93,35.92,Twitterlist
714911299-4,Teal,2XL,204.69,Jean Nguyen,1336 Dapin Point,Western Sahara,6-(609)529-5976,388,Heather Bennett,OnlineSales,SpringPromotion,70,20140519,20140509,20140704,405.93,772.06,2.91,Katz
912428611-7,Khaki,L,215.15,Debra Arnold,7 Kennedy Avenue,Samoa,1-(215)358-4150,105,Adam Johnson,OnlineSales,WinterPromotion,76,20140203,20141103,20140506,36.82,117.85,97.56,Skynoodle
093350839-5,Goldenrod,S,671.25,Mark Smith,83528 Farwell Parkway,Micronesia,5-(803)289-8192,558,Marie Oliver,OnlineSales,AutumnPromotion,87,20140502,20140912,20140215,94.16,982.67,77.67,Katz
535874565-3,Indigo,XS,213.47,Norma Nguyen,6 Harper Pass,Papua New Guinea,7-(504)637-1832,867,Laura Miller,Order via Third Party,ValentinesPromotion,19,20140611,20140418,20140611,775.32,410.37,8.67,Kayveo
338699833-X,Goldenrod,S,344.87,Alice Schmidt,7 Ohio Center,Israel,7-(043)753-3869,984,Robert Hill,Telephone,EasterPromotion,20,20140508,20141110,20140904,883.7,832.02,49.12,Thoughtsphere
799149973-1,Purple,XL,5.01,Lawrence Harris,07784 Clyde Gallagher Pass,Slovakia,6-(217)896-5175,351,Marilyn Castillo,Telephone,WinterPromotion,59,20140811,20140307,20140804,20.47,968.94,20.53,Zooveo
166046172-3,Red,3XL,654.31,Margaret Green,7563 Grim Lane,Poland,4-(702)611-8853,995,Jesse Murphy,Order via Third Party,ValentinesPromotion,28,20140515,20140703,20141105,467.62,589.28,61.47,Oyondu
173878666-8,Green,XL,159.74,Chris Bryant,630 Nobel Parkway,Bulgaria,9-(365)805-0653,938,Patrick Tucker,Onsite Consultant Sales,NewYearPromotion,27,20140609,20141116,20140715,483.56,128.36,2.03,Dynabox
617279661-5,Puce,M,364.14,Louise Jackson,1661 Glendale Way,Macau,7-(869)160-3349,47,Emily Meyer,OnlineSales,AutumnPromotion,76,20140509,20140509,20140506,396.28,157.12,25.47,Eamia
337691132-0,Red,M,445.52,Kimberly Schmidt,283 Debra Drive,Iceland,8-(132)952-1318,447,Lawrence Hicks,Telephone,NewYearPromotion,30,20140308,20140419,20141102,664.92,132.49,69.26,Janyx
358368218-1,Turquoise,2XL,25.1,Emily Little,76 Schlimgen Center,Bulgaria,3-(614)688-0208,55,Fred Reynolds,Onsite Consultant Sales,BankHolidayPromotion,54,20140815,20140305,20140803,655.34,315.43,97.67,Skiptube
153100112-2,Blue,2XL,60.55,Linda Reynolds,43 Main Pass,United Arab Emirates,2-(913)137-5402,18,Howard James,Order via Third Party,ValentinesPromotion,88,20140302,20140309,20140202,454.5,463.61,15.7,Meevee
156458878-5,Maroon,3XL,65.62,Betty Nelson,2294 Westend Alley,Mayotte,2-(678)774-0117,173,Mary Arnold,Onsite Consultant Sales,ValentinesPromotion,24,20141118,20140808,20140508,376.14,88.04,69.96,Jaxworks
016756654-7,Khaki,3XL,277.07,Robert George,38 Cody Circle,Djibouti,0-(749)272-0987,307,Andrew Mccoy,Onsite Consultant Sales,SummerPromotion,53,20140813,20140918,20140204,247.46,869.25,63.15,Browsezoom
557082626-2,Pink,S,691.96,Jane Hamilton,59 Northport Park,China,8-(486)276-3518,695,Carol Garcia,OnlineSales,WinterPromotion,23,20140204,20140713,20140402,596.97,268.84,65.94,Zooxo
986838956-9,Fuscia,M,257.91,Anthony Kelly,9 Daystar Circle,French Southern Territories,8-(918)459-6383,439,Craig Taylor,Order via Third Party,WinterPromotion,40,20141117,20140917,20140912,761.88,270.88,12.77,Linktype
